127.0.0.1 - - [27/Mar/2019:09:36:28 +0800] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [27/Mar/2019:09:36:28 +0800] "GET /maven_springmvc_mybatis_demo/index.jsp HTTP/1.1" 200 626
0:0:0:0:0:0:0:1 - - [27/Mar/2019:09:37:50 +0800] "POST /maven_springmvc_mybatis_demo/users/user HTTP/1.1" 500 25469
0:0:0:0:0:0:0:1 - - [27/Mar/2019:09:42:08 +0800] "POST /maven_springmvc_mybatis_demo/users/user HTTP/1.1" 200 1831
0:0:0:0:0:0:0:1 - - [27/Mar/2019:09:44:24 +0800] "POST /maven_springmvc_mybatis_demo/users/user HTTP/1.1" 200 1846
0:0:0:0:0:0:0:1 - - [27/Mar/2019:09:46:19 +0800] "POST /maven_springmvc_mybatis_demo/users/user HTTP/1.1" 200 1918
0:0:0:0:0:0:0:1 - - [27/Mar/2019:09:47:00 +0800] "POST /maven_springmvc_mybatis_demo/users/user HTTP/1.1" 200 1929
0:0:0:0:0:0:0:1 - - [27/Mar/2019:09:47:43 +0800] "POST /maven_springmvc_mybatis_demo/users/user HTTP/1.1" 200 1949
0:0:0:0:0:0:0:1 - - [27/Mar/2019:09:47:59 +0800] "POST /maven_springmvc_mybatis_demo/users/user HTTP/1.1" 200 1941
0:0:0:0:0:0:0:1 - - [27/Mar/2019:10:01:30 +0800] "GET /maven_springmvc_mybatis_demo/users/showMenuAll HTTP/1.1" 200 3309
0:0:0:0:0:0:0:1 - - [27/Mar/2019:10:01:33 +0800] "GET /maven_springmvc_mybatis_demo/users/showAll HTTP/1.1" 200 1365
0:0:0:0:0:0:0:1 - - [27/Mar/2019:10:01:46 +0800] "GET /maven_springmvc_mybatis_demo/users/showMenuAll HTTP/1.1" 200 3309
0:0:0:0:0:0:0:1 - - [27/Mar/2019:10:01:49 +0800] "GET /maven_springmvc_mybatis_demo/users/showAll HTTP/1.1" 200 1365
0:0:0:0:0:0:0:1 - - [27/Mar/2019:10:03:30 +0800] "GET /maven_springmvc_mybatis_demo/users/showAll HTTP/1.1" 200 1365
0:0:0:0:0:0:0:1 - - [27/Mar/2019:10:03:32 +0800] "GET /maven_springmvc_mybatis_demo/users/showAll HTTP/1.1" 200 1365
0:0:0:0:0:0:0:1 - - [27/Mar/2019:10:03:38 +0800] "POST /maven_springmvc_mybatis_demo/users/user HTTP/1.1" 200 2873
0:0:0:0:0:0:0:1 - - [27/Mar/2019:10:03:39 +0800] "GET /maven_springmvc_mybatis_demo/users/showRolerAll HTTP/1.1" 200 2413
0:0:0:0:0:0:0:1 - - [27/Mar/2019:10:09:54 +0800] "POST /maven_springmvc_mybatis_demo/users/user HTTP/1.1" 200 1728
0:0:0:0:0:0:0:1 - - [27/Mar/2019:10:10:50 +0800] "POST /maven_springmvc_mybatis_demo/users/user HTTP/1.1" 200 13893
0:0:0:0:0:0:0:1 - - [27/Mar/2019:10:11:43 +0800] "POST /maven_springmvc_mybatis_demo/users/user HTTP/1.1" 200 13869
0:0:0:0:0:0:0:1 - - [27/Mar/2019:10:11:58 +0800] "GET /maven_springmvc_mybatis_demo/users/user HTTP/1.1" 200 314
0:0:0:0:0:0:0:1 - - [27/Mar/2019:10:11:58 +0800] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [27/Mar/2019:10:12:00 +0800] "GET /maven_springmvc_mybatis_demo/ HTTP/1.1" 200 626
0:0:0:0:0:0:0:1 - - [27/Mar/2019:10:12:09 +0800] "POST /maven_springmvc_mybatis_demo/users/user HTTP/1.1" 200 13869
0:0:0:0:0:0:0:1 - - [27/Mar/2019:10:12:44 +0800] "POST /maven_springmvc_mybatis_demo/users/user HTTP/1.1" 200 3393
0:0:0:0:0:0:0:1 - - [27/Mar/2019:10:12:46 +0800] "GET /maven_springmvc_mybatis_demo/users/showMenuAll HTTP/1.1" 200 4389
0:0:0:0:0:0:0:1 - - [27/Mar/2019:10:12:57 +0800] "GET /maven_springmvc_mybatis_demo/users/showAll HTTP/1.1" 200 2268
0:0:0:0:0:0:0:1 - - [27/Mar/2019:10:13:08 +0800] "POST /maven_springmvc_mybatis_demo/users/getAllWhere.do HTTP/1.1" 200 1861
